[2025-09-02 12:36:30.168] [REQUEST] {"timestamp":"2025-09-02 12:36:30.168","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":401,"responseTime":"3ms","error":{"error":"Token 无效"}}
[2025-09-02 12:45:35.753] [REQUEST] {"timestamp":"2025-09-02 12:45:35.753","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:45:54.651] [REQUEST] {"timestamp":"2025-09-02 12:45:54.651","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"2ms"}
[2025-09-02 12:45:54.733] [REQUEST] {"timestamp":"2025-09-02 12:45:54.733","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:45:54.733] [REQUEST] {"timestamp":"2025-09-02 12:45:54.733","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"6ms"}
[2025-09-02 12:45:54.734] [REQUEST] {"timestamp":"2025-09-02 12:45:54.734","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:45:54.736] [REQUEST] {"timestamp":"2025-09-02 12:45:54.736","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"6ms"}
[2025-09-02 12:46:24.759] [REQUEST] {"timestamp":"2025-09-02 12:46:24.759","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"16ms"}
[2025-09-02 12:46:24.761] [REQUEST] {"timestamp":"2025-09-02 12:46:24.761","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"18ms"}
[2025-09-02 12:46:24.761] [REQUEST] {"timestamp":"2025-09-02 12:46:24.761","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:46:24.765] [REQUEST] {"timestamp":"2025-09-02 12:46:24.765","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:46:54.754] [REQUEST] {"timestamp":"2025-09-02 12:46:54.754","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:46:54.755] [REQUEST] {"timestamp":"2025-09-02 12:46:54.755","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:46:54.756] [REQUEST] {"timestamp":"2025-09-02 12:46:54.756","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:46:54.760] [REQUEST] {"timestamp":"2025-09-02 12:46:54.760","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:47:24.751] [REQUEST] {"timestamp":"2025-09-02 12:47:24.751","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:47:24.752] [REQUEST] {"timestamp":"2025-09-02 12:47:24.752","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:47:24.754] [REQUEST] {"timestamp":"2025-09-02 12:47:24.754","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:47:24.757] [REQUEST] {"timestamp":"2025-09-02 12:47:24.757","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:47:54.760] [REQUEST] {"timestamp":"2025-09-02 12:47:54.760","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:47:54.761] [REQUEST] {"timestamp":"2025-09-02 12:47:54.761","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:47:54.763] [REQUEST] {"timestamp":"2025-09-02 12:47:54.763","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:47:54.767] [REQUEST] {"timestamp":"2025-09-02 12:47:54.767","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:48:24.757] [REQUEST] {"timestamp":"2025-09-02 12:48:24.757","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:48:24.758] [REQUEST] {"timestamp":"2025-09-02 12:48:24.758","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:48:24.759] [REQUEST] {"timestamp":"2025-09-02 12:48:24.759","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:48:24.762] [REQUEST] {"timestamp":"2025-09-02 12:48:24.762","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
[2025-09-02 12:48:54.764] [REQUEST] {"timestamp":"2025-09-02 12:48:54.764","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"19ms"}
[2025-09-02 12:48:54.765] [REQUEST] {"timestamp":"2025-09-02 12:48:54.765","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"21ms"}
[2025-09-02 12:48:54.765] [REQUEST] {"timestamp":"2025-09-02 12:48:54.765","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"5ms"}
[2025-09-02 12:48:54.768] [REQUEST] {"timestamp":"2025-09-02 12:48:54.768","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:49:25.190] [REQUEST] {"timestamp":"2025-09-02 12:49:25.190","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"18ms"}
[2025-09-02 12:49:25.192] [REQUEST] {"timestamp":"2025-09-02 12:49:25.192","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:49:25.194] [REQUEST] {"timestamp":"2025-09-02 12:49:25.194","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:49:25.197] [REQUEST] {"timestamp":"2025-09-02 12:49:25.197","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:49:54.542] [REQUEST] {"timestamp":"2025-09-02 12:49:54.542","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"3ms"}
[2025-09-02 12:49:54.612] [REQUEST] {"timestamp":"2025-09-02 12:49:54.612","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:49:54.614] [REQUEST] {"timestamp":"2025-09-02 12:49:54.614","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:49:54.615] [REQUEST] {"timestamp":"2025-09-02 12:49:54.615","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:49:54.623] [REQUEST] {"timestamp":"2025-09-02 12:49:54.623","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:49:55.591] [REQUEST] {"timestamp":"2025-09-02 12:49:55.591","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"0ms"}
[2025-09-02 12:49:55.642] [REQUEST] {"timestamp":"2025-09-02 12:49:55.642","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"4ms"}
[2025-09-02 12:49:55.643] [REQUEST] {"timestamp":"2025-09-02 12:49:55.643","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"3ms"}
[2025-09-02 12:49:55.647] [REQUEST] {"timestamp":"2025-09-02 12:49:55.647","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"3ms"}
[2025-09-02 12:49:55.651] [REQUEST] {"timestamp":"2025-09-02 12:49:55.651","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"5ms"}
[2025-09-02 12:50:02.015] [REQUEST] {"timestamp":"2025-09-02 12:50:02.015","method":"GET","url":"/api/sms-messages?page=1&pageSize=20&search=&deviceId=&simCardId=","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"6ms"}
[2025-09-02 12:50:02.023] [REQUEST] {"timestamp":"2025-09-02 12:50:02.023","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
[2025-09-02 12:50:02.024] [REQUEST] {"timestamp":"2025-09-02 12:50:02.024","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:50:02.024] [REQUEST] {"timestamp":"2025-09-02 12:50:02.024","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:50:04.041] [REQUEST] {"timestamp":"2025-09-02 12:50:04.041","method":"GET","url":"/api/simcards?page=1&pageSize=10&search=&status=&deviceId=","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"6ms"}
[2025-09-02 12:50:04.043] [REQUEST] {"timestamp":"2025-09-02 12:50:04.043","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:50:05.177] [REQUEST] {"timestamp":"2025-09-02 12:50:05.177","method":"GET","url":"/api/devices?page=1&pageSize=10&search=&status=","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"5ms"}
[2025-09-02 12:50:05.737] [REQUEST] {"timestamp":"2025-09-02 12:50:05.737","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:50:05.740] [REQUEST] {"timestamp":"2025-09-02 12:50:05.740","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:50:05.747] [REQUEST] {"timestamp":"2025-09-02 12:50:05.747","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"5ms"}
[2025-09-02 12:50:05.751] [REQUEST] {"timestamp":"2025-09-02 12:50:05.751","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
